sample	cis_25KB_2MB	cis_2MB_12MB	cis_gt_12MB	cis_less_25KB	trans
k562.PET.txt.G1_0	230287	45460	25743	509027	175551
k562.PET.txt.G1_10	219178	28877	27041	536514	177714
k562.PET.txt.G1_11	214437	26613	26789	533051	185267
k562.PET.txt.G1_12	214004	26731	27656	536378	181640
k562.PET.txt.G1_13	212852	24389	27242	533222	188395
k562.PET.txt.G1_14	214893	25647	27584	533548	184450
k562.PET.txt.G1_15	214283	22919	26924	543688	180134
k562.PET.txt.G1_16	211041	22016	27198	536820	189888
k562.PET.txt.G1_17	210310	22946	27130	536745	188724
k562.PET.txt.G1_18	209971	24202	28157	536741	186426
k562.PET.txt.G1_19	208598	22209	27550	534301	193910
k562.PET.txt.G1_1	228859	39772	28495	513421	175294
k562.PET.txt.G1_20	207813	21871	27237	536924	191704
k562.PET.txt.G1_21	206478	21268	26650	532816	199018
k562.PET.txt.G1_22	204999	22062	27418	527959	203913
k562.PET.txt.G1_23	204290	22071	27016	528035	204699
k562.PET.txt.G1_24	208231	23072	28194	534625	193416
k562.PET.txt.G1_2	222645	27851	26960	525208	184877
k562.PET.txt.G1_3	226968	34941	27150	526623	174098
k562.PET.txt.G1_4	221107	25150	25809	535263	181706
k562.PET.txt.G1_5	220172	28939	27798	523125	187861
k562.PET.txt.G1_6	220821	29242	26218	528491	181133
k562.PET.txt.G1_7	221235	26109	27547	532810	178327
k562.PET.txt.G1_8	221095	28849	27543	533953	185451
k562.PET.txt.G1_9	217248	23716	27061	538434	184359
k562.PET.txt.G2M_0	225858	34956	24635	506963	193234
k562.PET.txt.G2M_10	225371	42271	27639	504503	187266
k562.PET.txt.G2M_11	229331	43227	25891	509255	179780
k562.PET.txt.G2M_12	227820	52645	28458	499382	179452
k562.PET.txt.G2M_13	227184	52185	29002	500130	178880
k562.PET.txt.G2M_14	225815	41328	28188	508362	183762
k562.PET.txt.G2M_15	225983	39244	26792	511017	185573
k562.PET.txt.G2M_16	225949	47790	28624	498715	184174
k562.PET.txt.G2M_17	226750	43751	27836	505174	182015
k562.PET.txt.G2M_18	228551	59210	32427	493249	176139
k562.PET.txt.G2M_19	223378	41272	29119	504785	187151
k562.PET.txt.G2M_1	231272	49035	26141	501168	178791
k562.PET.txt.G2M_20	225106	47274	30282	498350	185478
k562.PET.txt.G2M_21	224390	45592	30354	505206	183480
k562.PET.txt.G2M_22	220075	36176	29589	512633	188869
k562.PET.txt.G2M_23	222361	45153	29497	499693	189223
k562.PET.txt.G2M_24	222851	49659	32538	497973	183377
k562.PET.txt.G2M_25	221839	42035	28498	510829	183300
k562.PET.txt.G2M_26	223753	41064	27616	511688	183790
k562.PET.txt.G2M_27	224646	39489	28557	510145	185495
k562.PET.txt.G2M_28	220089	46659	33082	499252	186835
k562.PET.txt.G2M_29	217668	39181	29160	509906	192221
k562.PET.txt.G2M_2	231154	57765	27195	491720	178537
k562.PET.txt.G2M_30	218626	41772	30879	505490	188452
