	Phase	gene	RNA_expr	ATAC_access
0	G1	ENSG00000000460	0.5451580431111223	0.0012195121951219512
1	G2M	ENSG00000000460	0.8194792880233166	0.000790263948158685
2	S	ENSG00000000460	0.949821003644922	0.0012470382840753212
3	G1	ENSG00000000971	0.3228223902218643	0.0006968641114982578
4	G2M	ENSG00000000971	0.2271817287004471	0.000474158368895211
5	S	ENSG00000000971	0.2488573601172395	0.00024940765681506424
6	G1	ENSG00000001460	0.5626980348911051	0.0008710801393728223
7	G2M	ENSG00000001460	0.6521170150579176	0.001422475106685633
8	S	ENSG00000001460	0.5339292360343871	0.0007482229704451926
9	G1	ENSG00000002330	0.0729301131562798	0.0008710801393728223
10	G2M	ENSG00000002330	0.0134343055740277	0.000316105579263474
11	S	ENSG00000002330	0.0250388357452375	0.0006235191420376606
12	G1	ENSG00000002822	0.9393416952729722	0.003310104529616725
13	G2M	ENSG00000002822	1.1089248584512863	0.005215742057847321
14	S	ENSG00000002822	1.0724222528140992	0.0037411148522259632
15	G1	ENSG00000002834	1.61127930863944	0.004703832752613241
16	G2M	ENSG00000002834	1.0318930783145046	0.003003003003003003
17	S	ENSG00000002834	0.926261277187574	0.002119965082928046
18	G1	ENSG00000002919	0.539342150552009	0.0020905923344947735
19	G2M	ENSG00000002919	0.4256979003886982	0.002686897423739529
20	S	ENSG00000002919	0.7334373535350591	0.0029928918817807705
21	G1	ENSG00000003509	0.4508371357601031	0.0003484320557491289
22	G2M	ENSG00000003509	0.6371734651713868	0.00158052789631737
23	S	ENSG00000003509	0.6325104691267122	0.0004988153136301285
24	G1	ENSG00000003987	0.0247441455351663	0.0
25	G2M	ENSG00000003987	0.0	0.0
26	S	ENSG00000003987	0.0	0.0
27	G1	ENSG00000004139	0.0714351472671731	0.0
28	G2M	ENSG00000004139	0.061989724291585	0.000474158368895211
29	S	ENSG00000004139	0.0334227458630662	0.00024940765681506424
30	G1	ENSG00000004455	0.0984063056118598	0.0013937282229965157
31	G2M	ENSG00000004455	0.0456501926452032	0.002686897423739529
32	S	ENSG00000004455	0.0427024237679173	0.0028681880533732384
33	G1	ENSG00000004487	0.3483518413491102	0.003658536585365854
34	G2M	ENSG00000004487	0.4017633952762113	0.003477161371898214
35	S	ENSG00000004487	0.2145467668198175	0.0037411148522259632
36	G1	ENSG00000004766	0.3983643101965106	0.004703832752613241
37	G2M	ENSG00000004766	0.6812484057635695	0.003951319740793425
38	S	ENSG00000004766	0.7301158034797521	0.004489337822671156
39	G1	ENSG00000005102	0.0100088678569212	0.0003484320557491289
40	G2M	ENSG00000005102	0.0	0.000316105579263474
41	S	ENSG00000005102	0.0068132886381598	0.0008729267988527247
42	G1	ENSG00000005108	0.0	0.0
43	G2M	ENSG00000005108	0.0132026796158548	0.000316105579263474
44	S	ENSG00000005108	0.0316617530832135	0.0
45	G1	ENSG00000005175	0.2782790425346	0.0010452961672473868
46	G2M	ENSG00000005175	0.3186011187042256	0.000316105579263474
47	S	ENSG00000005175	0.3737646630539826	0.0003741114852225963
48	G1	ENSG00000005206	0.5460262169078081	0.0010452961672473868
49	G2M	ENSG00000005206	0.495262642543371	0.002212739054844318
50	S	ENSG00000005206	0.7264028011921794	0.0018705574261129816
51	G1	ENSG00000005249	2.5283814969890512	0.0054006968641114985
52	G2M	ENSG00000005249	2.1007225237473244	0.003635214161529951
53	S	ENSG00000005249	2.452932466707513	0.003616411023818431
54	G1	ENSG00000005486	3.3128493381145048	0.002961672473867596
55	G2M	ENSG00000005486	3.545770319672868	0.004425478109688636
56	S	ENSG00000005486	3.462215544340894	0.0032422995385958347
57	G1	ENSG00000005700	2.509829545186645	0.004703832752613241
58	G2M	ENSG00000005700	2.216339109356171	0.003319108582266477
59	S	ENSG00000005700	2.2517595726158697	0.0037411148522259632
60	G1	ENSG00000006025	0.6388033906745428	0.006097560975609756
61	G2M	ENSG00000006025	0.6630928155721401	0.00474158368895211
62	S	ENSG00000006025	0.9595395431485392	0.005611672278338945
63	G1	ENSG00000006116	0.0193649834623041	0.0
64	G2M	ENSG00000006116	0.0	0.000474158368895211
65	S	ENSG00000006116	0.0	0.00024940765681506424
66	G1	ENSG00000006125	4.612426519429451	0.004006968641114983
67	G2M	ENSG00000006125	5.126600828170088	0.003477161371898214
68	S	ENSG00000006125	5.008022454523284	0.0046140416510786885
69	G1	ENSG00000006459	1.377246324049511	0.002961672473867596
70	G2M	ENSG00000006459	1.4670225650425492	0.003003003003003003
71	S	ENSG00000006459	1.313172715582918	0.0027434842249657062
72	G1	ENSG00000006606	1.1300194602438447	0.00017421602787456446
73	G2M	ENSG00000006606	1.0504203404152632	0.0
74	S	ENSG00000006606	1.1441841296598898	0.0
75	G1	ENSG00000006747	2.4365266930362592	0.0024390243902439024
76	G2M	ENSG00000006747	2.438988575848148	0.001738580685949107
77	S	ENSG00000006747	2.634540918575563	0.001995261254520514
78	G1	ENSG00000007062	0.0528105215955425	0.002264808362369338
79	G2M	ENSG00000007062	0.0	0.002686897423739529
80	S	ENSG00000007062	0.0	0.0017458535977054495
81	G1	ENSG00000007341	0.4944307035958388	0.007491289198606272
82	G2M	ENSG00000007341	0.4896916846037896	0.006480164374901217
83	S	ENSG00000007341	0.5069536343795403	0.006609302905599202
84	G1	ENSG00000007384	0.0	0.0006968641114982578
85	G2M	ENSG00000007384	0.0147260657253765	0.000316105579263474
86	S	ENSG00000007384	0.0087599425347769	0.00024940765681506424
87	G1	ENSG00000007541	3.0764207458175816	0.0
88	G2M	ENSG00000007541	2.654573170333036	0.000632211158526948
89	S	ENSG00000007541	2.900740698284347	0.0008729267988527247
90	G1	ENSG00000007923	5.578548698786151	0.0024390243902439024
91	G2M	ENSG00000007923	4.765185496154654	0.002844950213371266
92	S	ENSG00000007923	5.068747545376722	0.002119965082928046
93	G1	ENSG00000007968	0.2257677082455847	0.004529616724738676
94	G2M	ENSG00000007968	0.2528563763038523	0.006954322743796428
95	S	ENSG00000007968	0.4621282830099243	0.006734006734006734
96	G1	ENSG00000008018	0.7644823488019544	0.005574912891986063
97	G2M	ENSG00000008018	1.0004836125238	0.007586533902323376
98	S	ENSG00000008018	0.9798149206641704	0.007232822047636862
99	G1	ENSG00000008282	0.1140895623867688	0.013763066202090592
100	G2M	ENSG00000008282	0.0597172962058747	0.014856962225383278
101	S	ENSG00000008282	0.0485251136646207	0.009726898615787506
102	G1	ENSG00000008283	0.0627440833213147	0.0006968641114982578
103	G2M	ENSG00000008283	0.0327819806408942	0.000316105579263474
104	S	ENSG00000008283	0.0569126917083039	0.00024940765681506424
105	G1	ENSG00000008294	0.7252026661382399	0.001916376306620209
106	G2M	ENSG00000008294	0.877197547908703	0.003635214161529951
107	S	ENSG00000008294	0.7523636857585618	0.001995261254520514
108	G1	ENSG00000008405	0.4648923921075961	0.0013937282229965157
109	G2M	ENSG00000008405	0.5775152497313035	0.00158052789631737
110	S	ENSG00000008405	0.3526670781092179	0.0008729267988527247
111	G1	ENSG00000008441	0.4781811388577349	0.0012195121951219512
112	G2M	ENSG00000008441	0.3185476375973626	0.000474158368895211
113	S	ENSG00000008441	0.3728963031057699	0.000997630627260257
114	G1	ENSG00000008516	0.0	0.001916376306620209
115	G2M	ENSG00000008516	0.0091161359252331	0.000948316737790422
116	S	ENSG00000008516	0.0	0.0016211497692979174
117	G1	ENSG00000008517	0.0	0.0010452961672473868
118	G2M	ENSG00000008517	0.0103480461853997	0.000316105579263474
119	S	ENSG00000008517	0.0	0.0017458535977054495
120	G1	ENSG00000008710	0.5151119035303318	0.002264808362369338
121	G2M	ENSG00000008710	0.4064525038744602	0.001738580685949107
122	S	ENSG00000008710	0.3518173037343148	0.002618780396558174
123	G1	ENSG00000008838	14.239582916495756	0.001916376306620209
124	G2M	ENSG00000008838	17.81338215128224	0.001738580685949107
125	S	ENSG00000008838	17.440046638838187	0.0013717421124828531
126	G1	ENSG00000008853	0.0679812840492465	0.0008710801393728223
127	G2M	ENSG00000008853	0.0	0.001264422317053896
128	S	ENSG00000008853	0.0187433844061827	0.0006235191420376606
129	G1	ENSG00000009307	0.9134453655658274	0.0
130	G2M	ENSG00000009307	0.5482453930462392	0.000316105579263474
131	S	ENSG00000009307	0.4777518884180011	0.0004988153136301285
132	G1	ENSG00000009335	5.978131930347686	0.0062717770034843206
133	G2M	ENSG00000009335	6.150326364297325	0.008534850640113799
134	S	ENSG00000009335	5.684471788448278	0.00710811821922933
135	G1	ENSG00000009844	0.0623331427972727	0.0024390243902439024
136	G2M	ENSG00000009844	0.1276074371782981	0.002686897423739529
137	S	ENSG00000009844	0.0879900970852811	0.0028681880533732384
138	G1	ENSG00000009950	0.1466148528628406	0.002264808362369338
139	G2M	ENSG00000009950	0.0180715370518387	0.003003003003003003
140	S	ENSG00000009950	0.0782117941521725	0.002618780396558174
141	G1	ENSG00000010165	2.6713529906700453	0.007665505226480836
142	G2M	ENSG00000010165	3.00300316548509	0.005847953216374269
143	S	ENSG00000010165	2.663018821948159	0.0046140416510786885
144	G1	ENSG00000010270	0.2924952642127669	0.0013937282229965157
145	G2M	ENSG00000010270	0.519588524621609	0.000790263948158685
146	S	ENSG00000010270	0.4015373102895164	0.001122334455667789
147	G1	ENSG00000010361	0.0	0.0020905923344947735
148	G2M	ENSG00000010361	0.0	0.002528844634107792
149	S	ENSG00000010361	0.0175198850695539	0.0028681880533732384
150	G1	ENSG00000010539	0.6787158342155238	0.0010452961672473868
151	G2M	ENSG00000010539	1.1650739520865512	0.000316105579263474
152	S	ENSG00000010539	0.5659104006161089	0.0006235191420376606
153	G1	ENSG00000010803	3.0985929241675247	0.0031358885017421603
154	G2M	ENSG00000010803	3.726883355364045	0.004899636478583847
155	S	ENSG00000010803	3.989524294061509	0.0024940765681506424
156	G1	ENSG00000011007	0.0682764301787707	0.0015679442508710801
157	G2M	ENSG00000011007	0.0718367569990185	0.001422475106685633
158	S	ENSG00000011007	0.150673491374984	0.001995261254520514
159	G1	ENSG00000011083	0.0558488551263943	0.00017421602787456446
160	G2M	ENSG00000011083	0.0264053592317096	0.000158052789631737
161	S	ENSG00000011083	0.0	0.0004988153136301285
162	G1	ENSG00000011304	0.2269840211008408	0.004006968641114983
163	G2M	ENSG00000011304	0.1575321982834435	0.007586533902323376
164	S	ENSG00000011304	0.2169465049778542	0.00536226462152388
165	G1	ENSG00000011426	0.4927340941923079	0.0
166	G2M	ENSG00000011426	0.5723117213728648	0.0
167	S	ENSG00000011426	0.6023600536016414	0.0
168	G1	ENSG00000011523	0.0	0.0003484320557491289
169	G2M	ENSG00000011523	0.0139228257767196	0.000790263948158685
170	S	ENSG00000011523	0.0120234505379291	0.0008729267988527247
171	G1	ENSG00000011566	0.3023026739804476	0.0015679442508710801
172	G2M	ENSG00000011566	0.1630533719257147	0.001896633475580844
173	S	ENSG00000011566	0.1692844350398706	0.0007482229704451926
174	G1	ENSG00000012061	0.2213169402580718	0.01289198606271777
175	G2M	ENSG00000012061	0.1386866221292546	0.014066698277224593
176	S	ENSG00000012061	0.1491400619671819	0.012096271355530614
177	G1	ENSG00000012822	0.0531644333209781	0.001916376306620209
178	G2M	ENSG00000012822	0.039146599340907	0.002054686265212581
179	S	ENSG00000012822	0.0979707043901263	0.0014964459408903852
180	G1	ENSG00000013275	0.0	0.002961672473867596
181	G2M	ENSG00000013275	0.0156276615861138	0.003793266951161688
182	S	ENSG00000013275	0.0	0.0028681880533732384
183	G1	ENSG00000013306	0.8591597758670521	0.003310104529616725
184	G2M	ENSG00000013306	1.7378347220997783	0.003635214161529951
185	S	ENSG00000013306	1.1331215319506598	0.003491707195410899
186	G1	ENSG00000013503	0.262799690649811	0.003832752613240418
187	G2M	ENSG00000013503	0.3532197109977369	0.00316105579263474
188	S	ENSG00000013503	0.3021845936581875	0.0024940765681506424
189	G1	ENSG00000013810	3.976995522808119	0.0024390243902439024
190	G2M	ENSG00000013810	6.627927078480879	0.003477161371898214
191	S	ENSG00000013810	3.656724076942387	0.0017458535977054495
192	G1	ENSG00000014164	2.720877153650369	0.0020905923344947735
193	G2M	ENSG00000014164	2.373378652056092	0.002686897423739529
194	S	ENSG00000014164	2.82554035471527	0.003491707195410899
195	G1	ENSG00000014824	0.0717721962761024	0.002613240418118467
196	G2M	ENSG00000014824	0.0153151083543916	0.004109372530425162
197	S	ENSG00000014824	0.0198141557334241	0.0024940765681506424
198	G1	ENSG00000015171	0.0893442523745416	0.0017421602787456446
199	G2M	ENSG00000015171	0.1981717546971936	0.000948316737790422
200	S	ENSG00000015171	0.1194129149184198	0.0013717421124828531
201	G1	ENSG00000015413	0.0	0.0010452961672473868
202	G2M	ENSG00000015413	0.0141806558836959	0.00158052789631737
203	S	ENSG00000015413	0.0	0.0017458535977054495
204	G1	ENSG00000015520	0.0	0.0005226480836236934
205	G2M	ENSG00000015520	0.0088017864105698	0.000316105579263474
206	S	ENSG00000015520	0.0147513293332674	0.001122334455667789
207	G1	ENSG00000015532	0.4493471645036321	0.0015679442508710801
208	G2M	ENSG00000015532	0.4926047352062381	0.003793266951161688
209	S	ENSG00000015532	0.4206429003936604	0.0031175957101883026
210	G1	ENSG00000015676	2.9168121332287518	0.007142857142857143
211	G2M	ENSG00000015676	3.1209110117364585	0.006638217164532954
212	S	ENSG00000015676	2.626650986965785	0.008729267988527249
213	G1	ENSG00000016402	0.0156278813906313	0.00017421602787456446
214	G2M	ENSG00000016402	0.0144482154286713	0.001264422317053896
215	S	ENSG00000016402	0.0246098720040557	0.00012470382840753212
216	G1	ENSG00000018189	0.0633320182753156	0.00017421602787456446
217	G2M	ENSG00000018189	0.0847479458522309	0.000790263948158685
218	S	ENSG00000018189	0.0915167349465014	0.0006235191420376606
219	G1	ENSG00000018699	1.5588168340074169	0.002961672473867596
220	G2M	ENSG00000018699	1.3075291549697292	0.002054686265212581
221	S	ENSG00000018699	1.5661053395439908	0.0018705574261129816
222	G1	ENSG00000018869	0.0164960970234442	0.0
223	G2M	ENSG00000018869	0.0	0.000158052789631737
224	S	ENSG00000018869	0.0204398659144796	0.00012470382840753212
225	G1	ENSG00000019144	0.0	0.0006968641114982578
226	G2M	ENSG00000019144	0.0386908000531998	0.001896633475580844
227	S	ENSG00000019144	0.0	0.001995261254520514
228	G1	ENSG00000020256	1.6302194530700167	0.0010452961672473868
229	G2M	ENSG00000020256	1.433266099212151	0.000632211158526948
230	S	ENSG00000020256	1.9160187865384608	0.001122334455667789
231	G1	ENSG00000020922	1.4027493854507118	0.001916376306620209
232	G2M	ENSG00000020922	1.731330720043747	0.001738580685949107
233	S	ENSG00000020922	1.8768946199987475	0.0013717421124828531
234	G1	ENSG00000021355	0.5463916373840927	0.0054006968641114985
235	G2M	ENSG00000021355	0.7397865827415758	0.003477161371898214
236	S	ENSG00000021355	0.2963650010120695	0.0029928918817807705
237	G1	ENSG00000021762	0.1370045733124619	0.0012195121951219512
238	G2M	ENSG00000021762	0.2695590896094079	0.000316105579263474
239	S	ENSG00000021762	0.2753182677082625	0.0017458535977054495
240	G1	ENSG00000022277	0.6356253276563768	0.0
241	G2M	ENSG00000022277	0.7353043927798903	0.000158052789631737
242	S	ENSG00000022277	0.7529548000157652	0.0003741114852225963
243	G1	ENSG00000022840	1.2320766851255671	0.0010452961672473868
244	G2M	ENSG00000022840	1.473268117450966	0.001106369527422159
245	S	ENSG00000022840	1.830221838261559	0.0008729267988527247
246	G1	ENSG00000023572	0.0468836441718941	0.0020905923344947735
247	G2M	ENSG00000023572	0.064724565069155	0.000948316737790422
248	S	ENSG00000023572	0.0681124773148213	0.0014964459408903852
249	G1	ENSG00000024048	1.976504135479106	0.005226480836236934
250	G2M	ENSG00000024048	1.7380020641418017	0.004267425320056899
251	S	ENSG00000024048	1.973311329452008	0.003990522509041028
252	G1	ENSG00000025039	0.0619840845655917	0.0
253	G2M	ENSG00000025039	0.0136742038878496	0.000474158368895211
254	S	ENSG00000025039	0.0076649497179298	0.00024940765681506424
255	G1	ENSG00000025156	0.2610794712165438	0.004703832752613241
256	G2M	ENSG00000025156	0.2408617660041652	0.005373794847479058
257	S	ENSG00000025156	0.3701494546291877	0.004738745479486221
258	G1	ENSG00000025293	2.3243435450308856	0.002613240418118467
259	G2M	ENSG00000025293	2.681946245996236	0.001106369527422159
260	S	ENSG00000025293	2.7760549047710006	0.0013717421124828531
261	G1	ENSG00000026297	0.9552860698616824	0.004878048780487805
262	G2M	ENSG00000026297	0.6837230785533462	0.004425478109688636
263	S	ENSG00000026297	0.8260486831069744	0.0046140416510786885
264	G1	ENSG00000026559	0.1488802021138827	0.0003484320557491289
265	G2M	ENSG00000026559	0.0804876000009423	0.000316105579263474
266	S	ENSG00000026559	0.0578600199943176	0.0014964459408903852
267	G1	ENSG00000027869	0.0371162183027495	0.004006968641114983
268	G2M	ENSG00000027869	0.0235278521359464	0.005215742057847321
269	S	ENSG00000027869	0.0360703516137875	0.005112856964708816
270	G1	ENSG00000028203	1.826421730271456	0.005749128919860627
271	G2M	ENSG00000028203	1.92574184076487	0.005531847637110795
272	S	ENSG00000028203	1.9121536645192736	0.003367003367003367
273	G1	ENSG00000028310	0.0	0.0010452961672473868
274	G2M	ENSG00000028310	0.0218787262205594	0.001422475106685633
275	S	ENSG00000028310	0.0332833065657234	0.0013717421124828531
276	G1	ENSG00000030110	0.0278204447098086	0.0
277	G2M	ENSG00000030110	0.0	0.0
278	S	ENSG00000030110	0.0	0.00012470382840753212
279	G1	ENSG00000031003	0.3979977694247378	0.0010452961672473868
280	G2M	ENSG00000031003	0.2680698209831177	0.001106369527422159
